borrower_id,predicted_tier,ground_truth_tier,xgb_predicted_tier,xgb_probability,confidence,retrieval_score,sources_used,latency_ms,faithfulness,relevance,completeness,decision_accuracy,composite
B-1697,CRITICAL,CRITICAL,CRITICAL,0.9868,0.987,0.0,0,1594,1.0,0.8,1.0,1.0,0.94
B-4120,CRITICAL,HIGH,CRITICAL,0.9977,0.949,0.0,0,1004,0.0,0.8,1.0,0.0,0.49
B-9467,CRITICAL,HIGH,CRITICAL,0.9542,0.942,0.0,0,947,0.0,0.8,0.8,0.0,0.44
B-2323,CRITICAL,CRITICAL,CRITICAL,0.9979,0.998,0.0,0,1024,1.0,0.8,1.0,1.0,0.94
B-4312,CRITICAL,HIGH,CRITICAL,0.9482,0.927,0.0,0,931,0.0,0.8,0.9,0.0,0.465
B-9899,MEDIUM,MEDIUM,LOW,0.133,0.62,0.0,0,1395,1.0,0.8,0.8,1.0,0.89
B-9624,CRITICAL,HIGH,CRITICAL,0.9888,0.989,0.0,0,991,0.0,0.8,1.0,0.0,0.49
B-6325,CRITICAL,HIGH,CRITICAL,0.9936,0.947,0.0,0,1124,1.0,0.8,1.0,0.0,0.84
B-5927,MEDIUM,MEDIUM,LOW,0.0639,0.74,0.0,0,3068,1.0,0.8,0.9,1.0,0.915
B-3703,CRITICAL,HIGH,CRITICAL,0.9892,0.989,0.0,0,3122,0.0,0.8,0.8,0.0,0.44
